#,Name,Type 1,Type 2,Total,HP,Attack,Defense,Sp. Atk,Sp. Def,Speed,Generation,Legendary,Armor
1.0,Bulbasaur,Grass,Poison,318.0,45,49,49,65,65,45,1.0,False,58
2.0,Ivysaur,Grass,Poison,405.0,60,62,63,80,80,60,1.0,False,75
3.0,Venusaur,Grass,Poison,525.0,80,82,83,100,100,80,1.0,False,99
3.0,VenusaurMega Venusaur,Grass,Poison,625.0,80,100,123,122,120,80,1.0,False,147
4.0,Charmander,Fire,,309.0,39,52,43,60,50,65,1.0,False,51
5.0,Charmeleon,Fire,,405.0,58,64,58,80,65,80,1.0,False,69
6.0,Charizard,Fire,Flying,534.0,78,84,78,109,85,100,1.0,False,93
6.0,CharizardMega Charizard X,Fire,Dragon,634.0,78,130,111,130,85,100,1.0,False,133
6.0,CharizardMega Charizard Y,Fire,Flying,634.0,78,104,78,159,115,100,1.0,False,93
7.0,Squirtle,Water,,314.0,44,48,65,50,64,43,1.0,False,78
8.0,Wartortle,Water,,405.0,59,63,80,65,80,58,1.0,False,96
9.0,Blastoise,Water,,530.0,79,83,100,85,105,78,1.0,False,120
9.0,BlastoiseMega Blastoise,Water,,630.0,79,103,120,135,115,78,1.0,False,144
10.0,Caterpie,Bug,,195.0,45,30,35,20,20,45,1.0,False,42
11.0,Metapod,Bug,,205.0,50,20,55,25,25,30,1.0,False,66
12.0,Butterfree,Bug,Flying,395.0,60,45,50,90,80,70,1.0,False,60
13.0,Weedle,Bug,Poison,195.0,40,35,30,20,20,50,1.0,False,36
14.0,Kakuna,Bug,Poison,205.0,45,25,50,25,25,35,1.0,False,60
15.0,Beedrill,Bug,Poison,395.0,65,90,40,45,80,75,1.0,False,48
15.0,BeedrillMega Beedrill,Bug,Poison,495.0,65,150,40,15,80,145,1.0,False,48
16.0,Pidgey,Normal,Flying,251.0,40,45,40,35,35,56,1.0,False,48
17.0,Pidgeotto,Normal,Flying,349.0,63,60,55,50,50,71,1.0,False,66
18.0,Pidgeot,Normal,Flying,479.0,83,80,75,70,70,101,1.0,False,90
18.0,PidgeotMega Pidgeot,Normal,Flying,579.0,83,80,80,135,80,121,1.0,False,96
19.0,Rattata,Normal,,253.0,30,56,35,25,35,72,1.0,False,42
20.0,Raticate,Normal,,413.0,55,81,60,50,70,97,1.0,False,72
21.0,Spearow,Normal,Flying,262.0,40,60,30,31,31,70,1.0,False,36
22.0,Fearow,Normal,Flying,442.0,65,90,65,61,61,100,1.0,False,78
23.0,Ekans,Poison,,288.0,35,60,44,40,54,55,1.0,False,52
24.0,Arbok,Poison,,438.0,60,85,69,65,79,80,1.0,False,82
25.0,Pikachu,Electric,,320.0,35,55,40,50,50,90,1.0,False,48
26.0,Raichu,Electric,,485.0,60,90,55,90,80,110,1.0,False,66
27.0,Sandshrew,Ground,,300.0,50,75,85,20,30,40,1.0,False,102
28.0,Sandslash,Ground,,450.0,75,100,110,45,55,65,1.0,False,132
29.0,Nidoran♀,Poison,,275.0,55,47,52,40,40,41,1.0,False,62
30.0,Nidorina,Poison,,365.0,70,62,67,55,55,56,1.0,False,80
31.0,Nidoqueen,Poison,Ground,505.0,90,92,87,75,85,76,1.0,False,104
32.0,Nidoran♂,Poison,,273.0,46,57,40,40,40,50,1.0,False,48
33.0,Nidorino,Poison,,365.0,61,72,57,55,55,65,1.0,False,68
34.0,Nidoking,Poison,Ground,505.0,81,102,77,85,75,85,1.0,False,92
35.0,Clefairy,Fairy,,323.0,70,45,48,60,65,35,1.0,False,57
36.0,Clefable,Fairy,,483.0,95,70,73,95,90,60,1.0,False,87
37.0,Vulpix,Fire,,299.0,38,41,40,50,65,65,1.0,False,48
38.0,Ninetales,Fire,,505.0,73,76,75,81,100,100,1.0,False,90
39.0,Jigglypuff,Normal,Fairy,270.0,115,45,20,45,25,20,1.0,False,24
40.0,Wigglytuff,Normal,Fairy,435.0,140,70,45,85,50,45,1.0,False,54
41.0,Zubat,Poison,Flying,245.0,40,45,35,30,40,55,1.0,False,42
42.0,Golbat,Poison,Flying,455.0,75,80,70,65,75,90,1.0,False,84
43.0,Oddish,Grass,Poison,320.0,45,50,55,75,65,30,1.0,False,66
44.0,Gloom,Grass,Poison,395.0,60,65,70,85,75,40,1.0,False,84
45.0,Vileplume,Grass,Poison,490.0,75,80,85,110,90,50,1.0,False,102
46.0,Paras,Bug,Grass,285.0,35,70,55,45,55,25,1.0,False,66
47.0,Parasect,Bug,Grass,405.0,60,95,80,60,80,30,1.0,False,96
48.0,Venonat,Bug,Poison,305.0,60,55,50,40,55,45,1.0,False,60
49.0,Venomoth,Bug,Poison,450.0,70,65,60,90,75,90,1.0,False,72
50.0,Diglett,Ground,,265.0,10,55,25,35,45,95,1.0,False,30
51.0,Dugtrio,Ground,,405.0,35,80,50,50,70,120,1.0,False,60
52.0,Meowth,Normal,,290.0,40,45,35,40,40,90,1.0,False,42
53.0,Persian,Normal,,440.0,65,70,60,65,65,115,1.0,False,72
54.0,Psyduck,Water,,320.0,50,52,48,65,50,55,1.0,False,57
55.0,Golduck,Water,,500.0,80,82,78,95,80,85,1.0,False,93
56.0,Mankey,Fighting,,305.0,40,80,35,35,45,70,1.0,False,42
57.0,Primeape,Fighting,,455.0,65,105,60,60,70,95,1.0,False,72
58.0,Growlithe,Fire,,350.0,55,70,45,70,50,60,1.0,False,54
59.0,Arcanine,Fire,,555.0,90,110,80,100,80,95,1.0,False,96
60.0,Poliwag,Water,,300.0,40,50,40,40,40,90,1.0,False,48
61.0,Poliwhirl,Water,,385.0,65,65,65,50,50,90,1.0,False,78
62.0,Poliwrath,Water,Fighting,510.0,90,95,95,70,90,70,1.0,False,114
63.0,Abra,Psychic,,310.0,25,20,15,105,55,90,1.0,False,18
64.0,Kadabra,Psychic,,400.0,40,35,30,120,70,105,1.0,False,36
65.0,Alakazam,Psychic,,500.0,55,50,45,135,95,120,1.0,False,54
65.0,AlakazamMega Alakazam,Psychic,,590.0,55,50,65,175,95,150,1.0,False,78
66.0,Machop,Fighting,,305.0,70,80,50,35,35,35,1.0,False,60
67.0,Machoke,Fighting,,405.0,80,100,70,50,60,45,1.0,False,84
68.0,Machamp,Fighting,,505.0,90,130,80,65,85,55,1.0,False,96
69.0,Bellsprout,Grass,Poison,300.0,50,75,35,70,30,40,1.0,False,42
70.0,Weepinbell,Grass,Poison,390.0,65,90,50,85,45,55,1.0,False,60
71.0,Victreebel,Grass,Poison,490.0,80,105,65,100,70,70,1.0,False,78
72.0,Tentacool,Water,Poison,335.0,40,40,35,50,100,70,1.0,False,42
73.0,Tentacruel,Water,Poison,515.0,80,70,65,80,120,100,1.0,False,78
74.0,Geodude,Rock,Ground,300.0,40,80,100,30,30,20,1.0,False,120
75.0,Graveler,Rock,Ground,390.0,55,95,115,45,45,35,1.0,False,138
76.0,Golem,Rock,Ground,495.0,80,120,130,55,65,45,1.0,False,156
77.0,Ponyta,Fire,,410.0,50,85,55,65,65,90,1.0,False,66
78.0,Rapidash,Fire,,500.0,65,100,70,80,80,105,1.0,False,84
79.0,Slowpoke,Water,Psychic,315.0,90,65,65,40,40,15,1.0,False,78
80.0,Slowbro,Water,Psychic,490.0,95,75,110,100,80,30,1.0,False,132
80.0,SlowbroMega Slowbro,Water,Psychic,590.0,95,75,180,130,80,30,1.0,False,216
81.0,Magnemite,Electric,Steel,325.0,25,35,70,95,55,45,1.0,False,84
82.0,Magneton,Electric,Steel,465.0,50,60,95,120,70,70,1.0,False,114
83.0,Farfetch'd,Normal,Flying,352.0,52,65,55,58,62,60,1.0,False,66
84.0,Doduo,Normal,Flying,310.0,35,85,45,35,35,75,1.0,False,54
85.0,Dodrio,Normal,Flying,460.0,60,110,70,60,60,100,1.0,False,84
86.0,Seel,Water,,325.0,65,45,55,45,70,45,1.0,False,66
87.0,Dewgong,Water,Ice,475.0,90,70,80,70,95,70,1.0,False,96
88.0,Grimer,Poison,,325.0,80,80,50,40,50,25,1.0,False,60
89.0,Muk,Poison,,500.0,105,105,75,65,100,50,1.0,False,90
90.0,Shellder,Water,,305.0,30,65,100,45,25,40,1.0,False,120
91.0,Cloyster,Water,Ice,525.0,50,95,180,85,45,70,1.0,False,216
92.0,Gastly,Ghost,Poison,310.0,30,35,30,100,35,80,1.0,False,36
93.0,Haunter,Ghost,Poison,405.0,45,50,45,115,55,95,1.0,False,54
94.0,Gengar,Ghost,Poison,500.0,60,65,60,130,75,110,1.0,False,72
94.0,GengarMega Gengar,Ghost,Poison,600.0,60,65,80,170,95,130,1.0,False,96
95.0,Onix,Rock,Ground,385.0,35,45,160,30,45,70,1.0,False,192
